fullName,country,politicalGroup,id,nationalPoliticalGroup,party
Mazaly AGUILAR,Spain,European Conservatives and Reformists Group,198096,vox,ECR
Nicolas BAY,France,European Conservatives and Reformists Group,124760,reconquete,ECR
Lars Patrick BERG,Germany,European Conservatives and Reformists Group,197478,bundnisdeutschland,ECR
Sergio BERLATO,Italy,European Conservatives and Reformists Group,4746,fratelliditalia,ECR
Adam BIELAN,Poland,European Conservatives and Reformists Group,23788,prawoisprawiedliwosc,ECR
Geert BOURGEOIS,Belgium,European Conservatives and Reformists Group,197467,nieuwvlaamsealliantie,ECR
Joachim Stanisław BRUDZIŃSKI,Poland,European Conservatives and Reformists Group,197501,prawoisprawiedliwosc,ECR
Jorge BUXADÉ VILLALBA,Spain,European Conservatives and Reformists Group,197829,vox,ECR
Ryszard CZARNECKI,Poland,European Conservatives and Reformists Group,28372,prawoisprawiedliwosc,ECR
Elisabetta DE BLASIS,Italy,European Conservatives and Reformists Group,239262,fratelliditalia,ECR
Angel DZHAMBAZKI,Bulgaria,European Conservatives and Reformists Group,124873,vmro,ECR
Carlo FIDANZA,Italy,European Conservatives and Reformists Group,96810,fratelliditalia,ECR
Pietro FIOCCHI,Italy,European Conservatives and Reformists Group,197607,fratelliditalia,ECR
Anna FOTYGA,Poland,European Conservatives and Reformists Group,28353,prawoisprawiedliwosc,ECR
Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,198490,ellinikilusigreeksolution,ECR
Chiara GEMMA,Italy,European Conservatives and Reformists Group,197794,fratelliditalia,ECR
Teuvo HAKKARAINEN,Finland,European Conservatives and Reformists Group,197596,independent,ECR
Michiel HOOGEVEEN,Netherlands,European Conservatives and Reformists Group,218349,ja21,ECR
Ladislav ILČIĆ,Croatia,European Conservatives and Reformists Group,221463,hrvatskisuverenisti,ECR
Patryk JAKI,Poland,European Conservatives and Reformists Group,197516,solidarnapolskazbigniewaziobro,ECR
Krzysztof JURGIEL,Poland,European Conservatives and Reformists Group,197518,prawoisprawiedliwosc,ECR
Eugen JURZYCA,Slovakia,European Conservatives and Reformists Group,197767,slobodaasolidarita,ECR
Assita KANKO,Belgium,European Conservatives and Reformists Group,197469,nieuwvlaamsealliantie,ECR
Karol KARSKI,Poland,European Conservatives and Reformists Group,124887,prawoisprawiedliwosc,ECR
Beata KEMPA,Poland,European Conservatives and Reformists Group,197519,sovereignpoland,ECR
Izabela-Helena KLOC,Poland,European Conservatives and Reformists Group,197520,prawoisprawiedliwosc,ECR
Joanna KOPCIŃSKA,Poland,European Conservatives and Reformists Group,197530,prawoisprawiedliwosc,ECR
Zdzisław KRASNODĘBSKI,Poland,European Conservatives and Reformists Group,124891,prawoisprawiedliwosc,ECR
Elżbieta KRUK,Poland,European Conservatives and Reformists Group,197532,prawoisprawiedliwosc,ECR
Ryszard Antoni LEGUTKO,Poland,European Conservatives and Reformists Group,96796,prawoisprawiedliwosc,ECR
Peter LUNDGREN,Sweden,European Conservatives and Reformists Group,124996,sverigedemokraterna,ECR
Beata MAZUREK,Poland,European Conservatives and Reformists Group,197538,prawoisprawiedliwosc,ECR
Giuseppe MILAZZO,Italy,European Conservatives and Reformists Group,197824,fratelliditalia,ECR
Andżelika Anna MOŻDŻANOWSKA,Poland,European Conservatives and Reformists Group,197541,prawoisprawiedliwosc,ECR
Denis NESCI,Italy,European Conservatives and Reformists Group,239260,fratelliditalia,ECR
Johan NISSINEN,Sweden,European Conservatives and Reformists Group,238639,folklistan,ECR
Margarita DE LA PISA CARRIÓN,Spain,European Conservatives and Reformists Group,204414,vox,ECR
Tomasz Piotr PORĘBA,Poland,European Conservatives and Reformists Group,96801,prawoisprawiedliwosc,ECR
Nicola PROCACCINI,Italy,European Conservatives and Reformists Group,197820,fratelliditalia,ECR
Ansis PŪPOLS,Latvia,European Conservatives and Reformists Group,256134,nacionalaapvienibavisulatvijaitevzemeiunbrivibailnnk,ECR
Elżbieta RAFALSKA,Poland,European Conservatives and Reformists Group,197544,prawoisprawiedliwosc,ECR
Rafał ROMANOWSKI,Poland,European Conservatives and Reformists Group,250538,prawoisprawiedliwosc,ECR
Rob ROOKEN,Netherlands,European Conservatives and Reformists Group,197776,independent,ECR
Dorien ROOKMAKER,Netherlands,European Conservatives and Reformists Group,204733,meerdirectedemocratie,ECR
Robert ROOS,Netherlands,European Conservatives and Reformists Group,197709,independent,ECR
Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,197773,staatkundiggereformeerdepartij,ECR
Pirkko RUOHONEN-LERNER,Finland,European Conservatives and Reformists Group,132366,perussuomalaiset,ECR
Bogdan RZOŃCA,Poland,European Conservatives and Reformists Group,197545,prawoisprawiedliwosc,ECR
Jacek SARYUSZ-WOLSKI,Poland,European Conservatives and Reformists Group,28297,prawoisprawiedliwosc,ECR
Andrey SLABAKOV,Bulgaria,European Conservatives and Reformists Group,197849,vmro,ECR
Vincenzo SOFO,Italy,European Conservatives and Reformists Group,204334,fratelliditalia,ECR
Raffaele STANCANELLI,Italy,European Conservatives and Reformists Group,197825,fratelliditalia,ECR
Beata SZYDŁO,Poland,European Conservatives and Reformists Group,197553,prawoisprawiedliwosc,ECR
Dominik TARCZYŃSKI,Poland,European Conservatives and Reformists Group,204346,prawoisprawiedliwosc,ECR
Cristian TERHEŞ,Romania,European Conservatives and Reformists Group,197655,partiduluinaionalconservatorromanpncr,ECR
Hermann TERTSCH,Spain,European Conservatives and Reformists Group,197831,vox,ECR
Grzegorz TOBISZOWSKI,Poland,European Conservatives and Reformists Group,197559,prawoisprawiedliwosc,ECR
Waldemar TOMASZEWSKI,Lithuania,European Conservatives and Reformists Group,96697,lietuvoslenkurinkimuakcijakrikscioniskuseimusajunga,ECR
Evžen TOŠENOVSKÝ,Czechia,European Conservatives and Reformists Group,96713,obcanskademokratickastrana,ECR
Johan VAN OVERTVELDT,Belgium,European Conservatives and Reformists Group,125106,nieuwvlaamsealliantie,ECR
Alexandr VONDRA,Czechia,European Conservatives and Reformists Group,197537,obcanskademokratickastrana,ECR
Veronika VRECIONOVÁ,Czechia,European Conservatives and Reformists Group,197552,obcanskademokratickastrana,ECR
Witold Jan WASZCZYKOWSKI,Poland,European Conservatives and Reformists Group,197566,prawoisprawiedliwosc,ECR
Charlie WEIMERS,Sweden,European Conservatives and Reformists Group,123562,sverigedemokraterna,ECR
Jadwiga WIŚNIEWSKA,Poland,European Conservatives and Reformists Group,124877,prawoisprawiedliwosc,ECR
Jan ZAHRADIL,Czechia,European Conservatives and Reformists Group,23712,obcanskademokratickastrana,ECR
Anna ZALEWSKA,Poland,European Conservatives and Reformists Group,197572,prawoisprawiedliwosc,ECR
Roberts ZĪLE,Latvia,European Conservatives and Reformists Group,28615,nacionalaapvienibavisulatvijaitevzemeiunbrivibailnnk,ECR
Kosma ZŁOTOWSKI,Poland,European Conservatives and Reformists Group,124884,prawoisprawiedliwosc,ECR
Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),197490,independent,EPP
Asim ADEMOV,Bulgaria,Group of the European People's Party (Christian Democrats),189525,citizensforeuropeandevelopmentofbulgaria,EPP
Isabella ADINOLFI,Italy,Group of the European People's Party (Christian Democrats),124831,forzaitaliailpopolodellaliberta,EPP
Alexander ALEXANDROV YORDANOV,Bulgaria,Group of the European People's Party (Christian Democrats),197836,unionofdemocraticforces,EPP
Pablo ARIAS ECHEVERRÍA,Spain,Group of the European People's Party (Christian Democrats),96808,alianzapartidopopular,EPP
Pascal ARIMONT,Belgium,Group of the European People's Party (Christian Democrats),24922,christlichsozialepartei,EPP
Anna-Michelle ASIMAKOPOULOU,Greece,Group of the European People's Party (Christian Democrats),197695,neadimokratia,EPP
Traian BĂSESCU,Romania,Group of the European People's Party (Christian Democrats),197671,partidulmicareapopulara,EPP
Vasco BECKER-WEINBERG,Portugal,Group of the European People's Party (Christian Democrats),254719,partidodocentrodemocraticosocialpartidopopular,EPP
François-Xavier BELLAMY,France,Group of the European People's Party (Christian Democrats),197534,unionpourunmouvementpopulairelesrepublicains,EPP
Isabel BENJUMEA BENJUMEA,Spain,Group of the European People's Party (Christian Democrats),197679,alianzapartidopopular,EPP
Hildegard BENTELE,Germany,Group of the European People's Party (Christian Democrats),197408,christlichdemokratischeunion,EPP
Tom BERENDSEN,Netherlands,Group of the European People's Party (Christian Democrats),197778,christendemocratischappel,EPP
Stefan BERGER,Germany,Group of the European People's Party (Christian Democrats),197410,christlichdemokratischeunion,EPP
Alexander BERNHUBER,Austria,Group of the European People's Party (Christian Democrats),197648,osterreichischevolkspartei,EPP
Vladimír BILČÍK,Slovakia,Group of the European People's Party (Christian Democrats),197771,independent,EPP
Vasile BLAGA,Romania,Group of the European People's Party (Christian Democrats),197637,partidulnationalliberal,EPP
Ioan-Rareş BOGDAN,Romania,Group of the European People's Party (Christian Democrats),197636,partidulnationalliberal,EPP
Franc BOGOVIČ,Slovenia,Group of the European People's Party (Christian Democrats),125004,slovenskaljudskastranka,EPP
Karolin BRAUNSBERGER-REINHOLD,Germany,Group of the European People's Party (Christian Democrats),226260,christlichdemokratischeunion,EPP
Krzysztof BREJZA,Poland,Group of the European People's Party (Christian Democrats),251324,platformaobywatelska,EPP
Daniel BUDA,Romania,Group of the European People's Party (Christian Democrats),125012,partidulnationalliberal,EPP
