document_identifier,document_title,document_title_en,document_type,document_parliamentary_term,document_date,document_public_register_notation,document_creator_person,document_creator_organization,document_language,document_pdf,document_doc,document_answers_pdf,document_answers_doc,document_annexes_pdf,document_annexes_doc,document_ep_number,document_URI
E-9-2023-000077,Agricultural or environmental funding for transhumance,Agricultural or environmental funding for transhumance,Written question,9,2023-01-11,,Stelios KYMPOUROPOULOS; Alessandro PANZA; Eric ANDRIEU; Aldo PATRICIELLO,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000077/E-9-2023-000077_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000077/E-9-2023-000077_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000077-ASW/E-9-2023-000077-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000077-ASW/E-9-2023-000077-ASW_en.docx,,,PE741.313,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000077
E-9-2023-000090,Call for increased sanctions against Tehran’s theocratic regime in response to the serious human rights violations suffered by the Iranian people,Call for increased sanctions against Tehran’s theocratic regime in response to the serious human rights violations suffered by the Iranian people,Written question,9,2023-01-11,,Gianantonio DA RE,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000090/E-9-2023-000090_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000090/E-9-2023-000090_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000090-ASW/E-9-2023-000090-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000090-ASW/E-9-2023-000090-ASW_en.docx,,,PE741.262,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000090
E-9-2023-000098,Abnormal weather posing serious threat to Treviso radicchio PGI crops,Abnormal weather posing serious threat to Treviso radicchio PGI crops,Written question,9,2023-01-12,,Rosanna CONTE,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000098/E-9-2023-000098_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000098/E-9-2023-000098_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000098-ASW/E-9-2023-000098-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000098-ASW/E-9-2023-000098-ASW_en.docx,,,PE741.331,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000098
E-9-2023-000067,New conclusions on best available techniques in the context of Directive 2010/75/EU,New conclusions on best available techniques in the context of Directive 2010/75/EU,Written question,9,2023-01-11,,Benoît LUTGEN,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000067/E-9-2023-000067_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000067/E-9-2023-000067_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000067-ASW/E-9-2023-000067-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000067-ASW/E-9-2023-000067-ASW_en.docx,,,PE741.302,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000067
E-9-2023-000093,Immediate end to US duties on Spanish olives,Immediate end to US duties on Spanish olives,Written question,9,2023-01-12,,Jordi CAÑAS,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000093/E-9-2023-000093_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000093/E-9-2023-000093_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000093-ASW/E-9-2023-000093-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000093-ASW/E-9-2023-000093-ASW_en.docx,,,PE741.326,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000093
E-9-2023-000029,Aid shipments blocked by Romania,Aid shipments blocked by Romania,Written question,9,2023-01-09,,Bert-Jan RUISSEN,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000029/E-9-2023-000029_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000029/E-9-2023-000029_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000029-ASW/E-9-2023-000029-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000029-ASW/E-9-2023-000029-ASW_en.docx,,,PE741.249,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000029
E-9-2023-000008,Alleged infringement of EU legislation on wildlife protection,Alleged infringement of EU legislation on wildlife protection,Written question,9,2023-01-05,,Massimiliano SMERIGLIO,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000008/E-9-2023-000008_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000008/E-9-2023-000008_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000008-ASW/E-9-2023-000008-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000008-ASW/E-9-2023-000008-ASW_en.docx,,,PE741.228,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000008
E-9-2023-000043,Protein crop production in the EU,Protein crop production in the EU,Written question,9,2023-01-10,,Tom VANDENKENDELAERE,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000043/E-9-2023-000043_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000043/E-9-2023-000043_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000043-ASW/E-9-2023-000043-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000043-ASW/E-9-2023-000043-ASW_en.docx,,,PE741.278,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000043
E-9-2023-000070,Purchase by a German company of land worth several million euros in the occupied village of Livera in the province of Kyrenia,Purchase by a German company of land worth several million euros in the occupied village of Livera in the province of Kyrenia,Written question,9,2023-01-11,,Costas MAVRIDES,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000070/E-9-2023-000070_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000070/E-9-2023-000070_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000070-ASW/E-9-2023-000070-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000070-ASW/E-9-2023-000070-ASW_en.docx,,,PE741.305,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000070
E-9-2023-000046,European policy challenges in relation to rural areas,European policy challenges in relation to rural areas,Written question,9,2023-01-10,,Stanislav POLČÁK,,English,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000046/E-9-2023-000046_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp/E-9-2023-000046/E-9-2023-000046_en.docx,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000046-ASW/E-9-2023-000046-ASW_en.pdf,https://data.europarl.europa.eu/distribution/reds_iMaQp_Asw/E-9-2023-000046-ASW/E-9-2023-000046-ASW_en.docx,,,PE741.281,https://data.europarl.europa.eu/eli/dl/doc/E-9-2023-000046
